date,pollutant,ws,wd
2022-04-20,9.791,7.23,195.38
2022-04-21,25.797,4.91,113.19
2022-04-22,14.755,9.62,179.06
2022-04-23,9.54,11.2,193.38
2022-04-24,4.574,4.8,302.81
2022-04-25,3.413,5.7,287.12
2022-04-26,8.787,2.66,156.69
2022-04-27,5.132,6.48,189.44
2022-04-28,6.483,6.03,169.44
2022-04-29,16.616,7.14,165.5
2022-04-30,4.179,8.33,256.75
2022-05-01,3.366,5.3,264.38
2022-05-02,9.327,6.05,114.81
2022-05-03,6.067,5.57,233.56
2022-05-04,11.222,4.27,87.62
2022-05-05,19.859,3.75,72.19
2022-05-06,6.961,3.41,136.75
2022-05-07,17.855,5.22,115.94
2022-05-08,7.263,7.95,149.31
2022-05-09,24.977,8.82,178.75
2022-05-10,39.994,6.81,189.62
2022-05-11,30.747,4.34,181.88
2022-05-12,14.231,5.62,184.94
2022-05-13,9.278,3.38,229.81
2022-05-14,12.041,2.12,144.69
2022-05-15,11.248,3.61,148
2022-05-16,8.141,2.28,270.38
2022-05-17,11.243,4.55,180.38
2022-05-18,9.121,3.41,247.88
2022-05-19,14.615,4.92,182.81
2022-05-20,9.161,5.11,241.69
2022-05-21,3.122,5.29,193.94
2022-05-22,6.372,3.8,148
2022-05-23,8.627,4.1,100.5
2022-05-24,10.488,5.85,103.06
2022-05-25,11.509,5.17,151.12
2022-05-26,5.636,4.12,248.56
2022-05-27,9.539,3.43,271.12
2022-05-28,7.118,6.64,170.06
2022-05-29,8.904,8.87,172.88
